sample_id,band_number,date,species,age,sex,ssha_weight,prey,prey_name,migratory,lure,trap,crop,prey_mass,prey_size,year
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,BHGR,Black-headed Grosbeak,migrant,ST,dg,e,42,medium,2015
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,MGWA,MacGillivray's Warbler,migrant,ST,dg,e,11,small,2015
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,SWTH,Swainson's Thrush,migrant,ST,dg,e,34,medium,2015
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,VATH,Varied Thrush,partial_migrant,ST,dg,e,83,large,2015
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,WETA,Western Tanager,migrant,ST,dg,e,30,medium,2015
2015-014,1533-17830,5-Sep-15,SSHA,HY,F,172.4,WIWA,Wilson's Warbler,migrant,ST,dg,e,8,small,2015
2015-021,1563-14492,6-Sep-15,SSHA,HY,F,159.7,HOFI,House Finch,resident,ST,dg,f,22,small,2015
2015-021,1563-14492,6-Sep-15,SSHA,HY,F,159.7,MODO,Mourning Dove,partial_migrant,ST,dg,f,128,large,2015
2015-021,1563-14492,6-Sep-15,SSHA,HY,F,159.7,VATH,Varied Thrush,partial_migrant,ST,dg,f,83,large,2015
2015-086,1693-36895,7-Sep-15,SSHA,HY,F,149.5,BRCR,Brown Creeper,resident,ST,dg,e,7,small,2015
2015-086,1693-36895,7-Sep-15,SSHA,HY,F,149.5,RBNU,Red-breasted Nuthatch,irruptive,ST,dg,e,11,small,2015
2015-086,1693-36895,7-Sep-15,SSHA,HY,F,149.5,SPTO,Spotted Towhee,resident,ST,dg,e,41,medium,2015
2015-086,1693-36895,7-Sep-15,SSHA,HY,F,149.5,WETA,Western Tanager,migrant,ST,dg,e,30,medium,2015
2015-020,1563-14495,10-Sep-15,SSHA,HY,F,160.5,CBCH,Chestnut-backed Chickadee,resident,ST,bn,f,9,small,2015
2015-020,1563-14495,10-Sep-15,SSHA,HY,F,160.5,FOSP,Fox Sparrow,migrant,ST,bn,f,32,medium,2015
2015-020,1563-14495,10-Sep-15,SSHA,HY,F,160.5,HETH,Hermit Thrush,migrant,ST,bn,f,30,medium,2015
2015-017,1563-14496,11-Sep-15,SSHA,HY,F,158.8,BHGR,Black-headed Grosbeak,migrant,ST,dg,e,42,medium,2015
