prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Abert's Towhee,Emberizidae,Invertebrates,Shrubland,Yes,Resident,1.68,2,Occassionally
Acorn Woodpecker,Picidae,Seed,Woodland,Yes,Resident,1.9,1.5,Occassionally
Allen's Hummingbird,Trochilidae,Nectar,Shrubland,Yes,Moderate,0.53,2,Yes
Altamira Oriole,Icteridae,Invertebrates,Woodland,No,Resident,1.74,1,Occassionally
American Avocet,Charadriidae,Invertebrates,Wetland,No,Short,2.48,1,No
American Bittern,Ardeidae,Vertebrates,Wetland,No,Short,2.85,1,No
American Black Duck,Anatidae,Vegetation,Wetland,No,Short,3.09,1,No
American Coot,Rallidae,Vegetation,Wetland,No,Short,2.75,1,No
American Crow,Corvidae,Omnivore,Various,Yes,Withdrawal,2.65,2,Yes
American Dipper,Cinclidae,Invertebrates,Wetland,Yes,Resident,1.75,1,No
American Goldfinch,Fringillidae,Seed,Various,Yes,Short,1.19,0.9,Yes
American Kestrel,Falconidae,Invertebrates,Various,No,Short,2.06,1,No
American Oystercatcher,Charadriidae,Invertebrates,Ocean,No,Withdrawal,2.74,3.5,No
American Pipit,Motacillidae,Omnivore,Grassland,No,Moderate,1.35,1,No
American Redstart,Parulidae,Invertebrates,Woodland,No,Moderate,0.92,1,No
American Robin,Turdidae,Fruit,Woodland,Yes,Short,1.9,1,Occassionally
American Three-toed Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.82,1,No
American Tree Sparrow,Emberizidae,Omnivore,Shrubland,No,Moderate,1.26,1,Yes
American White Pelican,Pelecanidae,Vertebrates,Wetland,No,Moderate,3.75,3,No
American Wigeon,Anatidae,Vegetation,Wetland,No,Short,2.88,1,No
American Woodcock,Scolopacidae,Invertebrates,Wetland,No,Short,2.29,0.9,No
Ancient Murrelet,Alcidae,Invertebrates,Ocean,No,Short,2.34,3.5,No
Anhinga,Anhingidae,Vertebrates,Wetland,No,Withdrawal,3.13,2,No
Anna's Hummingbird,Trochilidae,Nectar,Woodland,Yes,Short,0.63,1,Yes
Aplomado Falcon,Falconidae,Vertebrates,Grassland,No,Resident,2.53,1,No
Arctic Loon,Gaviidae,Vertebrates,Wetland,No,Moderate,3.35,1.5,No
Arizona Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.67,1,No
Ash-throated Flycatcher,Tyrannidae,Invertebrates,Shrubland,No,Withdrawal,1.47,1,No
Atlantic Puffin,Alcidae,Vertebrates,Ocean,No,Short,2.77,4.5,No
Audubon's Oriole,Icteridae,Omnivore,Woodland,No,Resident,1.62,1,Occassionally
Bachman's Sparrow,Emberizidae,Omnivore,Woodland,No,Withdrawal,1.29,1,No
Baird's Sparrow,Emberizidae,Seed,Grassland,No,Moderate,1.26,1,No
Bald Eagle,Accipitridae,Vertebrates,Wetland,No,Short,3.67,4.5,No
Baltimore Oriole,Icteridae,Omnivore,Woodland,Yes,Moderate,1.54,1,Occassionally
Band-tailed Pigeon,Columbidae,Seed,Woodland,Yes,Withdrawal,2.55,1,Yes
Bank Swallow,Hirundinidae,Invertebrates,Various,Yes,Moderate,1.25,1,No
Barn Owl,Tytonidae,Vertebrates,Various,Yes,Withdrawal,2.61,1,No
Barn Swallow,Hirundinidae,Invertebrates,Various,Yes,Moderate,1.25,1,No
Barred Owl,Strigidae,Vertebrates,Woodland,Yes,Resident,2.85,2,No
Barrow's Goldeneye,Anatidae,Invertebrates,Wetland,No,Moderate,2.96,3,No
Bell's Sparrow,Emberizidae,Seed,Shrubland,No,Short,1.23,1,No
Bell's Vireo,Vireonidae,Invertebrates,Shrubland,No,Moderate,0.93,1,No
Warbling Vireo,Vireonidae,Invertebrates,Shrubland,No,Moderate,0.93,1,No
Belted Kingfisher,Alcedinidae,Vertebrates,Wetland,No,Short,2.23,0.8,No
Bendire's Thrasher,Mimidae,Invertebrates,Shrubland,No,Withdrawal,1.79,0.8,Occassionally
Bewick's Wren,Troglodytidae,Invertebrates,Shrubland,Yes,Short,1,1,Yes
Black Brant,Anatidae,Vegetation,Wetland,No,Moderate,3.11,2.5,No
Black Guillemot,Alcidae,Vertebrates,Ocean,No,Withdrawal,2.58,3.5,No
Black Oystercatcher,Charadriidae,Invertebrates,Ocean,No,Resident,2.74,4.5,No
Black Phoebe,Tyrannidae,Invertebrates,Wetland,Yes,Withdrawal,1.27,1,No
Black Rail,Rallidae,Invertebrates,Wetland,No,Short,1.5,1,No
Black Scoter,Anatidae,Invertebrates,Wetland,No,Moderate,3.02,2,No
Black Skimmer,Rynchopidae,Vertebrates,Ocean,No,Withdrawal,2.47,1.5,No
Black Turnstone,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.1,1,No
Black Vulture,Cathartidae,Vertebrates,Various,Yes,Resident,3.28,7.5,No
"Black, Brown-capped, and Gray-crowned Rosy-Finch §§",Fringillidae,Omnivore,Various,No,Short,1.4,1,Yes
Black-and-white Warbler,Parulidae,Invertebrates,Woodland,No,Moderate,1.04,1,Occassionally
Black-backed Woodpecker,Picidae,Invertebrates,Woodland,No,Resident,1.86,1,No
Black-bellied Plover,Charadriidae,Invertebrates,Wetland,No,Moderate,2.4,1.5,No
Black-bellied Whistling-Duck,Anatidae,Vegetation,Wetland,No,Withdrawal,2.88,1,No
Black-billed Magpie,Corvidae,Omnivore,Woodland,Yes,Resident,2.34,2,Yes
Black-capped Chickadee,Paridae,Invertebrates,Woodland,Yes,Resident,1.03,0.5,Yes
Black-chinned Hummingbird,Trochilidae,Nectar,Woodland,Yes,Short,0.48,1,Yes
Black-chinned Sparrow,Emberizidae,Omnivore,Shrubland,No,Short,1.1,1,No
Black-crested and Tufted Titmouse ?? ,Paridae,Invertebrates,Woodland,No,Resident,1.33,1,Yes
Black-crowned Night-Heron,Ardeidae,Vertebrates,Wetland,Yes,Short,2.91,1,No
Black-footed Albatross,Diomedeidae,Vertebrates,Ocean,No,Long,3.45,9,No
